,1,2,3,4,5,sum,low_sum,high_sum,high_low_ratio
ように思える,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
ような本,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ような内容,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はこうだ,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はじめました,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はずである,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,inf
はずはない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ようである,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,inf
の責任か,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
よい例です,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
はと思う,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はなかった,2.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,inf
ややシニカルです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はほとんど無い,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はもってこいです,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はよくわかる,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
やっぱり,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はわからない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
やすいタイプです,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の通りです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の話だ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
わかるでしょう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の事を,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
のを思い出す,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
のイメージです,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
のエッセイ本,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
わかりません,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
わかりにくい内容,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
わからない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の一言です,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
